brand,model,release_date,stack_height_mm,plate_type,first_major_win_athlete,first_major_win_event,first_major_win_date
Nike,Vaporfly 4% (prototype),2016-08-21,31,carbon,Eliud Kipchoge,Rio Olympic Marathon (silver),2016-08-21
Nike,Vaporfly 4% (Breaking2),2017-05-06,31,carbon,Eliud Kipchoge,Breaking2 Monza (2:00:25 exhibition),2017-05-06
Nike,Vaporfly 4%,2017-07-15,36,carbon,Geoffrey Kirui,IAAF World Championships Marathon London,2017-08-06
Nike,Vaporfly 4% (consumer wide release),2017-10-01,36,carbon,Eliud Kipchoge,Berlin Marathon,2017-09-24
Nike,Zoom Vaporfly 4% Flyknit,2018-06-29,36,carbon,Eliud Kipchoge,Berlin Marathon (2:01:39 WR),2018-09-16
Nike,ZoomX Vaporfly Next%,2019-06-27,36,carbon,Brigid Kosgei,Chicago Marathon (2:14:04 WR),2019-10-13
Nike,Alphafly Next% (INEOS prototype),2019-10-12,40,triple-carbon,Eliud Kipchoge,INEOS 1:59 Challenge Vienna,2019-10-12
Nike,Air Zoom Alphafly Next%,2020-02-29,39.5,carbon,Peres Jepchirchir,Tokyo Olympic Marathon,2021-08-07
World Athletics,Shoe regulation (40mm stack height single carbon plate),2020-01-31,40,policy,N/A,Policy effective for new records,2020-01-31
Adidas,Adizero Adios Pro,2020-08-13,39.5,energy-rods,Peres Jepchirchir,Valencia Half Marathon,2020-12-06
Saucony,Endorphin Pro,2020-04-15,35.5,carbon,Parker Stinson,USATF 25K Championships,2021-05-08
Asics,Metaspeed Sky,2021-04-15,33,carbon,Tigist Assefa,Berlin Marathon (2:11:53 WR),2023-09-24
New Balance,FuelCell RC Elite,2020-06-30,30,carbon,CJ Albertson,USATF Marathon Champ,2022-12-04
Adidas,Adizero Adios Pro 2,2021-08-12,39.5,energy-rods,Almaz Ayana,Valencia Marathon debut,2021-12-05
Nike,Alphafly 3,2024-01-15,40,carbon,Kelvin Kiptum,Chicago Marathon (2:00:35 WR),2023-10-08
Adidas,Adizero Adios Pro Evo 1,2023-08-31,39,energy-rods,Tigst Assefa,Berlin Marathon (2:11:53 WR),2023-09-24
Asics,Metaspeed Sky+,2022-04-01,33,carbon,Hidekazu Hijikata,Boston Marathon top-10,2022-04-18
Puma,Deviate Nitro Elite,2021-09-15,32,carbon,Molly Seidel,NYC Marathon top-5,2021-11-07
Hoka,Rocket X 2,2022-09-22,36,carbon,Aliphine Tuliamuk,US Olympic Marathon Trials,2024-02-03
